T	i	0.0324156145000119
V	være	0.0309255703936193
C	og	0.0297103036915652
P	en	0.025382747203907
P	den	0.0245774598304664
T	på	0.0151447566391497
T	til	0.0151333344316069
P	det	0.0145765866064393
T	af	0.0144645847910892
U	at	0.0143602169134436
V	have	0.0139449621842703
T	for	0.0128180588764289
U	der	0.0127400497385741
T	med	0.0111670907022795
C	at	0.0111399396957709
U	som	0.0100873929240117
D	ikke	0.009017738930951
V	kunne	0.00674679813428684
V	blive	0.0066385237120789
P	han	0.00645906269032691
T	om	0.00597864554553286
C	men	0.0057806040864312
P	jeg	0.00558299398220552
P	vi	0.00550697986065222
T	fra	0.00525670358720307
P	de	0.00475081302371444
V	skulle	0.00447136289810838
P	man	0.00413572619090387
A	megen	0.00406361165657621
D	så	0.00404245352597568
P	sig	0.00404006107181472
V	ville	0.00398078978105271
V	få	0.00370767170151934
V	sige	0.00354938272504131
NC	år	0.00345781199860567
D	også	0.00331100697603368
P	anden	0.0031356029512504
A	god	0.00298470962369452
P	nogen	0.002926384530725
A	stor	0.00287347311538252
T	ved	0.00287032665985567
D	hvor	0.002720984818386
P	sin	0.00271919504351749
V	komme	0.00269322765391655
P	hun	0.00249970933334312
C	eller	0.00220336853354068
P	al	0.0021102028376644
D	ud	0.00209287906925786
T	efter	0.00206574719542517
A	hel	0.00203401304335918
A	ny	0.00203105182692222
D	nu	0.00200646807765937
V	gå	0.00200360426393634
V	gøre	0.00197668545854038
V	se	0.00195703185200326
A	dansk	0.00189740138873363
T	over	0.00183907107776158
C	når	0.00182648264665291
D	op	0.00179410928927674
P	denne	0.00176998385456962
A	mangen	0.00173818447747198
NC	dag	0.00169051280633881
C	hvis	0.00167603980664897
C	da	0.00156481286467495
V	tage	0.00153720180427639
A	mange	0.00146639350991594
D	her	0.00137055967541158
P	deres	0.00134758741926405
NC	krone	0.0013387168149595
NC	gang	0.00130900116020634
NC	tid	0.00130357095890461
T	mod	0.00125173706108501
V	give	0.00122312849253574
V	finde	0.00122291020609648
V	måtte	0.00121987680729116
C	end	0.00120422888736451
P	hvad	0.00117058494637177
D	kun	0.00115896967273534
P	du	0.00115387342359567
D	ind	0.00115068087571312
V	stå	0.00115066870037388
T	blandt	0.0011037118955876
A	lang	0.00107524595244088
T	under	0.00107192295449502
A	første	0.00106944875162772
NC	sted	0.0010159033489776
C	så	0.00101193244905068
NC	land	0.00100220696199795
P	hans	0.000974196724405694
P	selv	0.000943253969390402
NC	barn	0.00093390852685543
C	fordi	0.000928872284744875
A	sen	0.000925516239449652
D	derfor	0.000917187437741348
NC	procent	0.000903627588494625
D	sammen	0.000897481651178912
D	lige	0.000885068023155071
D	jo	0.00088376265285496
T	mellem	0.000879542158473588
NC	mand	0.000861401772670778
A	sidste	0.000858304018500894
P	ingen	0.000855608050525981
D	selv	0.00085509407727657
A	tidlig	0.000842215177360284
V	bruge	0.000832035724087266
NC	del	0.000828936230583205
V	vise	0.000828553577064185
V	sætte	0.00082548973991076
V	holde	0.000808165971504222
A	samme	0.000806829293188918
A	lidt	0.000800991218022599
C	om	0.000800460721098503
P	hver	0.000791067446873653
D	både	0.000789956882001407
A	lille	0.00078536330043899
D	med	0.000765654035208199
V	mene	0.000758641909472159
A	gammel	0.000749230372238447
V	skrive	0.00074767801648515
D	dog	0.000746307421153388
C	mens	0.000739980593083229
NC	kommune	0.000739737955965487
A	liden	0.000738673483448941
D	nok	0.000721913259315869
C	for	0.000716051703138155
D	bare	0.000700200281112755
A	høj	0.000685093294115267
V	ligge	0.000682472987177069
NC	menneske	0.000677088008563953
T	hos	0.000673591946867453
D	tilbage	0.00066078348998535
D	igen	0.000630745188742287
V	ske	0.000628842357152252
D	siden	0.000623224307759369
NC	eksempel	0.000620827505262962
NC	minut	0.000616436556132209
NC	verden	0.000615928670552419
NC	regering	0.000612928319096467
D	frem	0.000611042011181117
NC	sag	0.00060904090721006
D	hvordan	0.000603428945486798
V	spille	0.000601653954958799
V	tale	0.00059479923896581
V	lave	0.000592395479132694
D	måske	0.000592058048302286
A	egen	0.000588984644810885
NC	folk	0.000587414895715815
T	uden	0.000587381848366445
V	vide	0.000585018962886497
A	ung	0.000582584764705277
P	vores	0.000581648133250767
D	sådan	0.000575790925408496
D	endnu	0.000575681347355323
NC	side	0.000575382181876816
NC	by	0.000570783382311868
NC	vej	0.000563269458665659
D	ned	0.000562346741884567
V	fortælle	0.000560817867142665
T	ifølge	0.000560481305979345
NC	uge	0.000559151585000751
NC	problem	0.000555925989768831
NC	kamp	0.000554538001095295
NC	kvinde	0.000550743643587377
A	årig	0.00054602569963128
T	omkring	0.000544543786912166
NC	liv	0.000542784450391763
A	rigtig	0.000538834422474971
NC	penge	0.000535010496286038
A	klar	0.000533135494042841
V	tro	0.000532090154202246
A	politisk	0.000528392329741171
NC	måde	0.000519295611993562
D	stadig	0.000518218094470685
NC	replik	0.000515199480005871
NC	forhold	0.000513354046443689
NC	virksomhed	0.00051113726503464
V	arbejde	0.000509355317169931
D	først	0.000504855659653092
T	gennem	0.000504372124751785
V	lægge	0.000502405807464276
NC	mulighed	0.00049343867011288
V	begynde	0.000492312451233038
NC	grund	0.000491689769597542
NC	arbejde	0.000484186281956397
V	lade	0.000481364212253625
D	over	0.000479168302854704
D	allerede	0.000477942072259663
V	skabe	0.000474983464823968
NC	område	0.000472472735938944
NC	bog	0.000470484676974218
D	samtidig	0.000467969599753751
V	vælge	0.000465274501445926
V	køre	0.000453494860729734
NC	måned	0.000442172664902188
V	sidde	0.000442054390178127
NC	politi	0.000441877847759125
